"Coefficient","P_Value"
0.967928876044748,0
-0.105627249664836,0.109339572347341
-0.105627249664714,0.109339572347751
-0.205764506253349,0.00166600283321117
-0.308338500066197,1.77188193095645e-06
0.556974304964158,0
0.494039877105356,1.33226762955019e-15
-0.19175289604832,0.00343593232033079
-0.167773702285215,0.0106420716909474
-0.167773702285185,0.0106420716909614
-0.171714069226779,0.0089195359613714
-0.278857489617656,1.70108133428215e-05
0.541916408220884,0
0.471422405686692,3.5083047578155e-14
-0.202405754331806,0.00199029657834693
1.00000000000059,0
-0.0795398169091149,0.228492405485686
-0.0320580619283324,0.627873696436196
0.069516912473054,0.292750314824396
0.103241965342333,0.117626498329454
0.116929661045142,0.0761251584141172
-0.0795398169091479,0.228492405485492
-0.0320580619283648,0.627873696435848
0.069516912473044,0.292750314824466
0.103241965342253,0.11762649832974
0.116929661045142,0.0761251584141172
0.208264903635021,0.00145678219317391
-0.293923156418413,5.52550506371929e-06
-0.291458545317834,6.67096082018759e-06
0.226183502792266,0.00053212083740739
-0.30064016292075,3.27724595194923e-06
-0.283410535815215,1.21924422973319e-05
0.196332583493932,0.00272621315095911
0.888438737885212,0
-0.320828002332405,6.29184414790984e-07
-0.364036749998553,1.20063519126745e-08
