participant,verbal_span_wais,verbal_span_egner,verbal_span_mean
1000,7,7,7
500,5,5,5
651,6,6,6
652,5,6,5.5
653,3,4,3.5
656,9,9,9
657,4,5,4.5
658,5,6,5.5
659,9,9,9
660,6,5,5.5
667,6,6,6
668,8,7,7.5
672,6,8,7
674,9,9,9
675,6,8,7
676,5,4,4.5
677,9,8,8.5
680,7,7,7
681,7,7,7
682,9,9,9
683,8,9,8.5
684,7,7,7
686,7,8,7.5
687,8,9,8.5
689,9,9,9
690,9,9,9
692,7,9,8
694,6,7,6.5
695,6,7,6.5
696,7,6,6.5
697,6,7,6.5
698,6,6,6
700,6,6,6
702,9,9,9
704,9,7,8
705,9,8,8.5
706,9,8,8.5
708,6,5,5.5
712,7,9,8
713,3,7,5
714,6,9,7.5
715,9,9,9
717,4,4,4
719,7,5,6
721,6,7,6.5
723,6,6,6
724,5,6,5.5
725,9,7,8
726,6,5,5.5
727,6,6,6
730,9,7,8
732,4,5,4.5
733,7,7,7
734,4,4,4
736,8,9,8.5
738,9,9,9
739,7,7,7
740,7,8,7.5
741,9,9,9
742,9,9,9
743,8,9,8.5
745,6,8,7
746,5,6,5.5
747,9,5,7
748,9,9,9
750,6,6,6
751,8,9,8.5
752,7,7,7
753,9,9,9
754,8,8,8
755,7,7,7
756,9,9,9
758,6,7,6.5
759,6,9,7.5
760,3,7,5
761,6,7,6.5
762,9,9,9
763,8,9,8.5
764,9,8,8.5
765,8,7,7.5
767,6,6,6
769,8,7,7.5
770,7,8,7.5
771,8,8,8
772,8,8,8
773,5,7,6
775,7,8,7.5
776,9,9,9
777,9,7,8
778,7,3,5
779,7,8,7.5
782,8,7,7.5
783,8,9,8.5
784,8,9,8.5
786,8,9,8.5
789,9,9,9
790,9,9,9
792,6,7,6.5
793,8,9,8.5
794,9,9,9
795,7,9,8
796,8,9,8.5
797,8,8,8
800,9,7,8
801,7,8,7.5
802,7,8,7.5
803,9,9,9
804,7,9,8
805,5,7,6
806,8,6,7
808,6,8,7
809,9,NA,NA
810,5,5,5
811,6,6,6
812,8,6,7
813,9,7,8
814,6,6,6
815,8,5,6.5
816,9,9,9
817,5,6,5.5
818,7,7,7
819,8,8,8
820,9,8,8.5
823,7,9,8
824,6,7,6.5
825,6,6,6
827,9,9,9
828,6,9,7.5
829,8,7,7.5
830,9,7,8
831,9,9,9
832,9,9,9
833,6,8,7
839,7,7,7
840,6,7,6.5
841,6,6,6
843,7,9,8
844,7,8,7.5
846,7,5,6
848,7,8,7.5
849,6,8,7
850,9,9,9
852,5,7,6
854,7,7,7
855,7,7,7
856,8,9,8.5
857,6,6,6
859,9,9,9
860,6,7,6.5
863,8,8,8
865,6,6,6
866,9,8,8.5
867,7,7,7
868,6,7,6.5
869,7,8,7.5
871,6,5,5.5
872,8,8,8
875,9,9,9
876,7,7,7
877,7,6,6.5
880,8,6,7
881,6,6,6
882,9,9,9
885,7,9,8
887,6,8,7
888,6,7,6.5
889,9,8,8.5
892,8,9,8.5
895,6,7,6.5
896,7,7,7
897,9,8,8.5
901,6,7,6.5
902,6,5,5.5
908,7,8,7.5
914,8,7,7.5
916,6,5,5.5
917,7,6,6.5
918,9,9,9
919,5,7,6
920,6,5,5.5
922,9,9,9
925,7,6,6.5
927,9,7,8
928,6,6,6
929,8,7,7.5
930,9,9,9
931,6,8,7
932,6,8,7
936,6,7,6.5
938,8,8,8
940,5,5,5
941,6,7,6.5
942,8,8,8
943,7,6,6.5
945,7,8,7.5
947,9,9,9
948,8,8,8
949,9,9,9
950,8,8,8
951,6,8,7
952,9,8,8.5
953,7,7,7
954,9,8,8.5
956,6,7,6.5
957,9,8,8.5
959,7,6,6.5
960,9,9,9
961,8,8,8
963,6,7,6.5
964,6,7,6.5
965,6,8,7
968,8,9,8.5
969,7,7,7
971,7,8,7.5
974,9,9,9
976,6,6,6
977,6,6,6
980,7,6,6.5
982,9,9,9
983,6,8,7
984,9,9,9
986,9,9,9
988,7,7,7
989,6,6,6
990,5,7,6
991,9,9,9
992,9,9,9
9935,9,6,7.5
994,7,7,7
995,8,6,7
996,7,7,7
997,9,9,9
998,8,7,7.5
999,6,6,6
987,NA,5,NA
