participant,median_RT,mean_RT,num_correct_trials,perc_accuracy
1000,1.41564,1.4653824,25,89.28571428571429
500,1.2597999999999998,1.4886642857142858,28,100
651,1.19185,1.2882142857142858,27,96.42857142857143
652,1.34975,1.4084214285714285,28,100
653,1.3331,1.4210357142857144,28,100
656,1.25745,1.2936857142857143,28,100
657,1.2577,1.325632142857143,27,96.42857142857143
658,1.23285,1.2715392857142858,26,92.85714285714286
659,1.4604,1.4675285714285715,27,96.42857142857143
660,1.2572,1.3287857142857142,27,96.42857142857143
667,1.45885,1.5308964285714286,28,100
668,1.52325,1.6450035714285713,28,100
672,1.1338,1.1482178571428572,27,96.42857142857143
674,1.26655,1.3038928571428572,28,100
675,1.423,1.4462285714285714,27,96.42857142857143
676,1.3810500000000001,1.3736357142857143,28,100
677,1.10735,1.117157142857143,28,100
680,1.133,1.1946428571428571,28,100
681,1.19855,1.248017857142857,28,100
682,1.3491,1.4598285714285715,27,96.42857142857143
683,1.0660500000000002,1.1231607142857143,28,100
684,1.2158,1.2745785714285713,28,100
685,1.3998,1.5338,28,100
686,0.9419500000000001,1.0080107142857142,28,100
687,1.06545,1.102575,28,100
689,1.2821,1.3130107142857144,27,96.42857142857143
690,1.1990500000000002,1.3360357142857142,28,100
692,1.4186,1.4770892857142857,27,96.42857142857143
694,1.41555,1.398367857142857,28,100
695,1.2812999999999999,1.2886035714285715,28,100
696,1.25785,1.387517857142857,27,96.42857142857143
697,1.1,1.2296,28,100
698,1.3224,1.3599928571428572,28,100
700,1.6572,1.6880642857142858,28,100
702,1.31575,1.361967857142857,28,100
704,1.19185,1.2240142857142857,28,100
705,1.14115,1.1833642857142856,28,100
706,1.5163,1.5117444444444443,26,92.85714285714286
708,1.3993,1.5971206896551724,28,100
712,1.07465,1.0683214285714286,28,100
713,1.1828500000000002,1.2381714285714285,28,100
714,0.9544999999999999,1.0804285714285715,27,96.42857142857143
715,0.95875,0.992175,27,96.42857142857143
717,1.2998500000000002,1.3416107142857143,28,100
719,1.28965,1.2875035714285714,28,100
721,1.244,1.3827142857142858,28,100
723,1.58135,1.5731107142857144,28,100
724,1.3413,1.3901607142857142,28,100
725,1.5998999999999999,1.6562607142857142,28,100
726,1.4239,1.563825,28,100
727,1.639,1.7721071428571429,28,100
730,1.2566,1.2917892857142856,28,100
731,1.6995,1.7955714285714286,28,100
732,1.37375,1.3817357142857143,28,100
733,1.2246000000000001,1.2844392857142857,28,100
734,1.10425,1.2026035714285714,28,100
736,1.19955,1.2144714285714286,28,100
738,1.0492,1.0745464285714286,28,100
739,1.2673999999999999,1.2983321428571428,28,100
740,1.1296,1.1474714285714285,28,100
741,1.4581,1.4946214285714285,28,100
742,1.14345,1.2075142857142858,28,100
743,1.0999,1.1375821428571429,28,100
745,1.6405,1.7493214285714287,28,100
746,1.3744,1.4547892857142857,28,100
747,1.12365,1.1695214285714286,28,100
748,1.4983499999999998,1.6364714285714286,28,100
749,1.3996499999999998,1.4528035714285714,27,96.42857142857143
750,1.13185,1.178907142857143,28,100
751,1.06665,1.0968,27,96.42857142857143
752,1.3245,1.287607142857143,28,100
753,1.325,1.4058192307692308,26,92.85714285714286
754,0.9697,1.1026037037037038,24,85.71428571428571
755,1.4845000000000002,1.5298571428571428,28,100
756,1.6425,1.6550928571428571,28,100
758,1.491,1.579292857142857,28,100
759,1.1566,1.1632642857142856,28,100
760,1.0493999999999999,1.066125,27,96.42857142857143
761,1.30885,1.4044,27,96.42857142857143
762,1.13155,1.1776357142857143,27,96.42857142857143
763,1.291,1.4159642857142858,27,96.42857142857143
764,1.557,1.6489464285714286,28,100
765,0.9331,0.9838,28,100
767,1.3162500000000001,1.3412071428571428,27,96.42857142857143
769,1.0261,1.0960285714285714,28,100
770,1.4976,1.624775,28,100
771,1.29,1.3618392857142858,28,100
772,0.9415,0.9271428571428572,28,100
773,1.2086999999999999,1.1890678571428572,28,100
775,1.27435,1.3013285714285714,28,100
776,1.2501,1.4717357142857144,27,96.42857142857143
777,1.4750999999999999,1.6150714285714287,27,96.42857142857143
778,1.5172,1.6005379310344827,28,100
779,1.166,1.1792285714285715,28,100
782,1.01615,1.0655428571428571,28,100
784,0.9085000000000001,0.89275,28,100
786,1.217,1.2794285714285714,28,100
789,1.3165,1.4669785714285715,28,100
790,0.94835,0.9958821428571428,28,100
792,1.3082500000000001,1.3453964285714286,28,100
793,1.22465,1.3263035714285714,28,100
794,1.1874500000000001,1.2784607142857143,28,100
795,1.1156000000000001,1.1828892857142856,28,100
796,1.308,1.4649285714285714,27,96.42857142857143
797,1.4321000000000002,1.491132142857143,28,100
800,1.275,1.306892857142857,28,100
801,1.0835,1.1944035714285715,28,100
802,1.3624999999999998,1.3792357142857143,28,100
803,1.3228,1.3766678571428572,27,96.42857142857143
804,1.10815,1.1145964285714285,28,100
805,1.5896499999999998,1.6745,28,100
806,1.15775,1.2643035714285715,28,100
808,1.06615,1.104342857142857,27,96.42857142857143
809,1.6019,1.6877037037037037,27,96.42857142857143
810,1.8843,1.9932962962962963,26,92.85714285714286
811,1.4831500000000002,1.4934964285714285,28,100
812,1.09985,1.114882142857143,28,100
813,1.5310000000000001,1.5295071428571427,28,100
814,1.78255,1.9419,28,100
815,1.3063500000000001,1.2745392857142857,28,100
816,1.0826500000000001,1.176125,28,100
817,1.35895,1.3861214285714285,28,100
818,1.15795,1.2560392857142857,28,100
819,1.16275,1.240967857142857,28,100
820,1.24425,1.3204535714285714,26,92.85714285714286
823,1.28415,1.2769785714285715,28,100
824,1.3028499999999998,1.3642464285714286,28,100
825,1.4843,1.5142642857142856,28,100
827,1.3994,1.416467857142857,28,100
828,1.3164,1.3929321428571428,27,96.42857142857143
829,1.3175,1.3715,27,96.42857142857143
830,1.1835,1.2126142857142856,28,100
831,1.2287,1.353632142857143,28,100
832,1.1247500000000001,1.170525,28,100
833,1.41455,1.4356607142857143,28,100
839,1.1591,1.1935107142857142,27,96.42857142857143
840,1.6729,1.7883071428571429,27,96.42857142857143
841,1.27995,1.3087321428571428,28,100
843,1.8745500000000002,1.8784642857142857,28,100
844,1.2913999999999999,1.4058964285714286,28,100
846,1.41685,1.4604535714285714,28,100
848,1.2066,1.2184607142857142,28,100
849,1.4410500000000002,1.466532142857143,28,100
850,1.30885,1.504432142857143,26,92.85714285714286
852,1.1837499999999999,1.2085428571428571,28,100
854,1.17455,1.2194035714285714,28,100
855,1.29455,1.3128678571428571,28,100
856,1.50835,1.5794785714285715,28,100
857,1.4309,1.4976785714285714,28,100
859,1.324,1.3491035714285715,27,96.42857142857143
860,1.14985,1.2631035714285714,28,100
863,1.2408,1.2966678571428571,28,100
865,1.68435,1.787807142857143,28,100
866,1.3912,1.5410107142857143,28,100
867,1.1876,1.209007142857143,28,100
868,1.19095,1.2076357142857144,27,96.42857142857143
869,1.2858,1.3914464285714285,28,100
871,1.50995,1.5782142857142858,28,100
872,1.42605,1.4709178571428572,28,100
875,1.2993000000000001,1.351775,28,100
876,1.1657,1.2300464285714285,28,100
877,1.4696500000000001,1.4759571428571427,28,100
880,1.3085,1.4026785714285714,27,96.42857142857143
881,1.6229,1.6490285714285715,28,100
882,1.2626499999999998,1.2988714285714287,27,96.42857142857143
885,1.2637,1.3117178571428572,28,100
887,1.1987,1.2562392857142857,28,100
888,1.46555,1.6521571428571429,28,100
889,1.2170999999999998,1.2543035714285715,28,100
892,1.9220000000000002,1.973442857142857,28,100
895,1.37535,1.4163178571428572,28,100
896,1.6469,1.6635964285714286,28,100
897,1.4978500000000001,1.4959285714285715,28,100
901,1.2356375,1.32151125,28,100
902,0.9912000000000001,1.0792642857142858,28,100
908,1.672725,1.93922875,16,57.14285714285714
914,1.1185525,1.1238557142857144,28,100
916,1.575285,1.6845708928571428,28,100
917,1.61717,1.6288075862068965,28,100
918,1.2499025,1.4082151785714285,28,100
919,1.358735,1.3332646428571429,28,100
920,1.4404525000000001,1.49853875,28,100
922,1.2982725,1.4011394642857142,28,100
925,1.4901849999999999,1.5445523214285715,28,100
927,1.4912425,1.6205051785714286,27,96.42857142857143
928,1.1738075000000001,1.18554,28,100
929,1.1521625,1.2112998214285715,27,96.42857142857143
930,1.44935,1.5658964285714285,28,100
931,1.3639000000000001,1.3852035714285715,28,100
932,1.3832200000000001,1.4086335714285714,28,100
936,1.2572174999999999,1.3041103571428572,28,100
938,1.52628,1.6081446428571429,28,100
940,1.5415975,1.6481257142857142,28,100
941,1.25692,1.3924703571428572,27,96.42857142857143
942,0.94111,0.9819651785714286,28,100
943,1.2912575,1.3646275,27,96.42857142857143
945,1.2325599999999999,1.2484725,28,100
948,1.5416725,1.5676848214285715,27,96.42857142857143
949,1.1584699999999999,1.204807142857143,28,100
950,1.236395,1.2879994642857142,28,100
951,1.4482,1.5268117857142858,28,100
952,1.25683,1.337405357142857,28,100
953,1.3411875,1.3395228571428572,28,100
954,1.3909500000000001,1.3761142857142856,28,100
956,1.360325,1.3918714285714286,28,100
957,1.3498350000000001,1.3501646428571428,28,100
959,1.3162175,1.3340276785714287,28,100
960,1.4748074999999998,1.4701028571428572,28,100
961,1.1584825,1.17787125,28,100
963,1.5488625,1.63649125,28,100
964,1.16865,1.245682142857143,27,96.42857142857143
965,1.3736925000000002,1.407839642857143,28,100
968,1.3097474999999998,1.4104675,28,100
969,1.46515,1.504189107142857,28,100
974,1.49763,1.4875656,25,89.28571428571429
976,1.315965,1.3762088,25,89.28571428571429
977,1.30813,1.3736401785714285,27,96.42857142857143
980,1.066565,1.0846366,25,89.28571428571429
982,1.18387,1.2799784,25,89.28571428571429
983,1.4642300000000001,1.5189001785714287,28,100
984,1.16431,1.23833,25,89.28571428571429
986,1.140425,1.1338705357142858,28,100
987,1.492,1.55924,25,89.28571428571429
988,1.63257,1.7394598,25,89.28571428571429
989,1.250415,1.2516636,23,82.14285714285714
990,1.44875,1.4927082,25,89.28571428571429
991,1.464825,1.6027354,25,89.28571428571429
992,1.265955,1.2620646,23,82.14285714285714
9935,1.599185,1.7471508,25,89.28571428571429
994,1.2507,1.3123242,25,89.28571428571429
995,1.816775,1.8097116,25,89.28571428571429
996,1.2076850000000001,1.293673392857143,28,100
997,1.013705,1.0912266,25,89.28571428571429
998,1.21638,1.238753,25,89.28571428571429
999,1.5285675,1.5359889285714285,28,100
