participant,mean_blocks,max_vpt_span
1000,8.666666666666666,9
500,7.333333333333333,7
651,10.333333333333334,9
652,10.333333333333334,9
653,9,9
656,10,9
657,9.333333333333334,9
658,9.333333333333334,9
659,4.333333333333333,4
660,9.333333333333334,9
667,9.333333333333334,9
668,6,6
672,10.333333333333334,9
674,9.666666666666666,9
675,9.666666666666666,9
676,8.333333333333334,8
677,10.666666666666666,9
680,7,7
681,7.333333333333333,7
682,7.666666666666667,8
683,9.333333333333334,9
684,10.666666666666666,9
685,6.666666666666667,7
686,11.666666666666666,9
687,10.333333333333334,9
689,8,8
690,9.666666666666666,9
692,9.333333333333334,9
694,8.333333333333334,8
695,9.333333333333334,9
696,12.333333333333334,9
697,10.333333333333334,9
698,9.333333333333334,9
700,7.333333333333333,7
702,10.333333333333334,9
704,9.666666666666666,9
705,9.333333333333334,9
706,9.333333333333334,9
708,8.666666666666666,9
712,9,9
713,7.666666666666667,8
714,10.333333333333334,9
715,12.666666666666666,9
717,7.333333333333333,7
719,8.333333333333334,8
721,9.333333333333334,9
723,4.333333333333333,4
724,10.333333333333334,9
725,7.333333333333333,7
726,10.333333333333334,9
727,6.666666666666667,7
730,8,8
731,10.666666666666666,9
732,7.333333333333333,7
733,9.666666666666666,9
734,9.333333333333334,9
736,10,9
738,10,9
739,9.666666666666666,9
740,9.666666666666666,9
741,9.333333333333334,9
742,9.333333333333334,9
743,7.333333333333333,7
745,7.333333333333333,7
746,9.333333333333334,9
747,9.333333333333334,9
748,11.333333333333334,9
749,6.666666666666667,7
750,5.666666666666667,6
751,8,8
752,9.333333333333334,9
753,10.333333333333334,9
754,9.333333333333334,9
755,5.333333333333333,5
756,9.333333333333334,9
758,6,6
759,6.333333333333333,6
760,11.333333333333334,9
761,5.333333333333333,5
762,11.333333333333334,9
763,12.333333333333334,9
764,8.333333333333334,8
765,12.333333333333334,9
767,9.666666666666666,9
769,10.333333333333334,9
770,10.333333333333334,9
771,10,9
772,11,9
773,11,9
775,8.333333333333334,8
776,10.333333333333334,9
777,10.333333333333334,9
778,10.333333333333334,9
779,7,7
782,9.333333333333334,9
783,7.333333333333333,7
784,10.666666666666666,9
786,10.333333333333334,9
789,14,9
790,10.666666666666666,9
792,10.333333333333334,9
793,11,9
794,9.666666666666666,9
795,11.333333333333334,9
796,8.666666666666666,9
797,9.333333333333334,9
800,9.333333333333334,9
801,5.333333333333333,5
802,5.666666666666667,6
803,8.666666666666666,9
804,9.666666666666666,9
805,9.333333333333334,9
806,11.333333333333334,9
808,11.333333333333334,9
809,8.333333333333334,8
810,8.333333333333334,8
811,8.333333333333334,8
812,8.333333333333334,8
813,10.333333333333334,9
814,7,7
815,10.333333333333334,9
816,11.333333333333334,9
817,7.333333333333333,7
818,8.666666666666666,9
819,10.333333333333334,9
820,9.333333333333334,9
823,10.333333333333334,9
824,9,9
825,8,8
827,11.333333333333334,9
828,9.666666666666666,9
829,11.333333333333334,9
830,9.333333333333334,9
831,10.666666666666666,9
832,9.666666666666666,9
833,7.666666666666667,8
839,8.333333333333334,8
840,10.333333333333334,9
841,11.666666666666666,9
843,10,9
844,11.333333333333334,9
846,10.666666666666666,9
848,9.333333333333334,9
849,10.333333333333334,9
850,9.333333333333334,9
852,9.666666666666666,9
854,12.333333333333334,9
855,8,8
856,7.333333333333333,7
857,6.333333333333333,6
859,11.333333333333334,9
860,11.666666666666666,9
863,10,9
865,10.333333333333334,9
866,8.333333333333334,8
867,10.666666666666666,9
868,10.333333333333334,9
869,9.333333333333334,9
871,8.333333333333334,8
872,8.333333333333334,8
875,11.333333333333334,9
876,7,7
877,8.333333333333334,8
880,6.666666666666667,7
881,7.666666666666667,8
882,11.666666666666666,9
885,9.666666666666666,9
887,8.333333333333334,8
888,9.666666666666666,9
889,7.666666666666667,8
892,9.333333333333334,9
895,10.666666666666666,9
896,9.333333333333334,9
897,10.333333333333334,9
901,10.333333333333334,9
902,10,9
908,8.666666666666666,9
914,11.666666666666666,9
916,9,9
917,7.666666666666667,8
918,9.666666666666666,9
919,11.333333333333334,9
920,6.333333333333333,6
922,9.333333333333334,9
925,7.333333333333333,7
927,11.333333333333334,9
928,11.333333333333334,9
929,8.666666666666666,9
930,8.666666666666666,9
931,10.333333333333334,9
932,9.333333333333334,9
936,8.333333333333334,8
938,9.666666666666666,9
940,7.333333333333333,7
941,9.333333333333334,9
942,11.666666666666666,9
943,10.333333333333334,9
945,8.666666666666666,9
947,9.333333333333334,9
948,9.333333333333334,9
949,12,9
950,11.666666666666666,9
951,6.666666666666667,7
952,10.333333333333334,9
953,10,9
954,9,9
956,9.333333333333334,9
957,11.333333333333334,9
959,11.666666666666666,9
960,10.333333333333334,9
961,10.333333333333334,9
963,9.333333333333334,9
964,9.333333333333334,9
965,10,9
968,10.333333333333334,9
969,11.666666666666666,9
971,7.666666666666667,8
974,8.666666666666666,9
976,11.333333333333334,9
977,9.666666666666666,9
979,10.666666666666666,9
980,8.333333333333334,8
982,7.666666666666667,8
983,9.333333333333334,9
984,10.666666666666666,9
986,10.333333333333334,9
987,5.333333333333333,5
988,9.333333333333334,9
989,9.333333333333334,9
990,9.666666666666666,9
991,9.333333333333334,9
992,11.666666666666666,9
9935,8,8
994,9.333333333333334,9
995,9.333333333333334,9
996,9.666666666666666,9
997,11.666666666666666,9
998,9.333333333333334,9
999,7,7
