typedNumber,typingRT,answerCorr,typingLoopPract.thisRepN,typingLoopPract.thisTrialN,typingLoopPract.thisN,typingLoopPract.thisIndex,typingLoopPract.ran,productNo,participant,session,group,date,expName,psychopyVersion,OS,frameRate,typingRTrial.thisRepN,typingRTrial.thisTrialN,typingRTrial.thisN,typingRTrial.thisIndex,typingRTrial.ran
39,1.5,1,0,0,0,0,1,39,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,,,,,
41,0.933,1,0,1,1,1,1,41,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,,,,,
59,1.317,1,0,2,2,2,1,59,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,,,,,
49,1.084,1,,,,,,49,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,0,0,22,1
54,0.867,1,,,,,,54,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,1,1,23,1
15,0.832,1,,,,,,15,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,2,2,6,1
27,1.183,1,,,,,,27,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,3,3,12,1
6,0.847,1,,,,,,6,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,4,4,0,1
63,1.267,1,,,,,,63,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,5,5,25,1
12,0.667,1,,,,,,12,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,6,6,4,1
45,0.933,1,,,,,,45,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,7,7,20,1
10,0.8,1,,,,,,10,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,8,8,3,1
30,0.8,1,,,,,,30,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,9,9,14,1
8,0.866,1,,,,,,8,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,10,10,2,1
14,0.9,1,,,,,,14,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,11,11,5,1
20,0.815,1,,,,,,20,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,12,12,9,1
21,0.668,1,,,,,,21,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,13,13,10,1
9,0.851,1,,,,,,9,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,14,14,1,1
40,0.933,1,,,,,,40,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,15,15,18,1
72,1.185,1,,,,,,72,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,16,16,27,1
32,0.816,1,,,,,,32,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,17,17,15,1
64,1.133,1,,,,,,64,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,18,18,26,1
24,1.067,1,,,,,,24,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,19,19,11,1
18,0.933,1,,,,,,18,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,20,20,8,1
35,1.167,1,,,,,,35,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,21,21,16,1
16,0.851,1,,,,,,16,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,22,22,7,1
56,1.017,1,,,,,,56,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,23,23,24,1
28,0.885,1,,,,,,28,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,24,24,13,1
48,1.066,1,,,,,,48,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,25,25,21,1
36,1.25,1,,,,,,36,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,26,26,17,1
42,0.883,1,,,,,,42,686,686,BCA,2022-02-01_10h14.56.287,workingMemoryTest,2020.2.10,MacIntel,60,0,27,27,19,1
